[2026-08-16T17:26:13.207+08:00] model, qwen-plus, mode, qwen3, prompt-tokens, 7345, completion-tokens, 160, total-tokens, 7505, cost-ms, 3460, requestId, 5f6466b7-eb51-9887-a6e7-f80e3153b6e2, temperature, 0
[2026-08-16T17:26:56.953+08:00] model, qwen-plus, mode, qwen3, prompt-tokens, 751, completion-tokens, 45, total-tokens, 796, cost-ms, 1226, requestId, 8930edd6-0c88-984f-82df-e4e7562a7a2f, temperature, 0
[2026-08-16T17:31:20.517+08:00] model, qwen-plus, mode, qwen3, prompt-tokens, 7345, completion-tokens, 134, total-tokens, 7479, cost-ms, 4262, requestId, da170a2b-25bf-9d94-ade3-ef260cc7b51f, temperature, 0
[2026-08-16T17:31:23.528+08:00] model, qwen-plus, mode, qwen3, prompt-tokens, 7563, completion-tokens, 103, total-tokens, 7666, cost-ms, 2213, requestId, c74853ee-c787-90b9-9d5b-8b705244df8a, temperature, 0
[2026-08-16T17:31:28.152+08:00] model, qwen-plus, mode, qwen3, prompt-tokens, 7757, completion-tokens, 121, total-tokens, 7878, cost-ms, 3910, requestId, 48104853-2c3f-974a-ae6d-bef891fd7afb, temperature, 0
[2026-08-16T17:31:32.588+08:00] model, qwen-plus, mode, qwen3, prompt-tokens, 7977, completion-tokens, 98, total-tokens, 8075, cost-ms, 3716, requestId, 8208a218-eb45-9e01-b406-71715329b0e1, temperature, 0
[2026-08-16T17:31:36.114+08:00] model, qwen-plus, mode, qwen3, prompt-tokens, 8181, completion-tokens, 136, total-tokens, 8317, cost-ms, 2828, requestId, a2f0af2c-dba6-9d56-9a16-4dbf33396f48, temperature, 0
[2026-08-16T17:31:39.531+08:00] model, qwen-plus, mode, qwen3, prompt-tokens, 8430, completion-tokens, 78, total-tokens, 8508, cost-ms, 2702, requestId, f059b241-b500-9ccf-beeb-fd44dd7ae518, temperature, 0
[2026-08-16T17:31:44.249+08:00] model, qwen-plus, mode, qwen3, prompt-tokens, 724, completion-tokens, 57, total-tokens, 781, cost-ms, 1571, requestId, b6c7560d-45ea-94dc-86d8-0a5f056703bd, temperature, 0
[2026-08-16T17:31:48.764+08:00] model, qwen-plus, mode, qwen3, prompt-tokens, 7344, completion-tokens, 176, total-tokens, 7520, cost-ms, 4389, requestId, 9d4401f9-bf4e-9c5a-95cb-83e62f1b2f5f, temperature, 0
[2026-08-16T17:31:54.897+08:00] model, qwen-plus, mode, qwen3, prompt-tokens, 7608, completion-tokens, 208, total-tokens, 7816, cost-ms, 5444, requestId, 9d4cf01f-0779-962c-b1ea-a839b3e3ca7f, temperature, 0
[2026-08-16T17:32:00.531+08:00] model, qwen-plus, mode, qwen3, prompt-tokens, 7344, completion-tokens, 127, total-tokens, 7471, cost-ms, 2480, requestId, b3ac33d2-184e-992d-a6aa-ad713f5773bc, temperature, 0
[2026-08-16T17:32:03.791+08:00] model, qwen-plus, mode, qwen3, prompt-tokens, 7559, completion-tokens, 78, total-tokens, 7637, cost-ms, 2571, requestId, d3c82e7a-0665-93c5-900b-c8cc6b969520, temperature, 0
[2026-08-16T17:32:07.597+08:00] model, qwen-plus, mode, qwen3, prompt-tokens, 752, completion-tokens, 51, total-tokens, 803, cost-ms, 1630, requestId, ad32185e-53c4-9465-b8db-d2f27f2a99a0, temperature, 0
[2026-08-16T17:39:17.317+08:00] model, qwen-plus, mode, qwen3, prompt-tokens, 7345, completion-tokens, 130, total-tokens, 7475, cost-ms, 4086, requestId, 9744baec-c24a-9bf9-b915-29da70de7678, temperature, 0
[2026-08-16T17:39:21.299+08:00] model, qwen-plus, mode, qwen3, prompt-tokens, 7559, completion-tokens, 92, total-tokens, 7651, cost-ms, 3133, requestId, d36b0039-2bee-988c-85cd-22457f8f12a6, temperature, 0
[2026-08-16T17:39:25.151+08:00] model, qwen-plus, mode, qwen3, prompt-tokens, 7746, completion-tokens, 121, total-tokens, 7867, cost-ms, 3170, requestId, bdb43a7b-4a83-9580-af2f-9b7d76d9c45f, temperature, 0
[2026-08-16T17:39:27.692+08:00] model, qwen-plus, mode, qwen3, prompt-tokens, 7970, completion-tokens, 86, total-tokens, 8056, cost-ms, 1804, requestId, 8386385c-80ef-97cb-9570-226b84b30a38, temperature, 0
[2026-08-16T17:39:31.688+08:00] model, qwen-plus, mode, qwen3, prompt-tokens, 8170, completion-tokens, 112, total-tokens, 8282, cost-ms, 3278, requestId, 5400f7bb-5205-9826-abdc-fb203364a0c5, temperature, 0
[2026-08-16T17:39:34.406+08:00] model, qwen-plus, mode, qwen3, prompt-tokens, 8403, completion-tokens, 53, total-tokens, 8456, cost-ms, 1990, requestId, 2356361b-2a89-9262-b05e-bf943df25911, temperature, 0
[2026-08-16T17:39:45.217+08:00] model, qwen-plus, mode, qwen3, prompt-tokens, 7354, completion-tokens, 206, total-tokens, 7560, cost-ms, 5651, requestId, 4c3ed847-07e3-9d44-b7e8-52f33cfeaa81, temperature, 0
[2026-08-16T17:39:49.403+08:00] model, qwen-plus, mode, qwen3, prompt-tokens, 7660, completion-tokens, 122, total-tokens, 7782, cost-ms, 3456, requestId, c2736224-a672-9655-82ff-2fa8a30b2805, temperature, 0
[2026-08-16T17:39:55.261+08:00] model, qwen-plus, mode, qwen3, prompt-tokens, 7339, completion-tokens, 150, total-tokens, 7489, cost-ms, 2712, requestId, 825d6359-4a4a-9c2f-9217-a5239d812033, temperature, 0
[2026-08-16T17:39:58.306+08:00] model, qwen-plus, mode, qwen3, prompt-tokens, 7577, completion-tokens, 89, total-tokens, 7666, cost-ms, 2335, requestId, 3376bc08-a954-92d0-9c5e-bb080ee3ebc9, temperature, 0
[2026-08-16T18:10:30.909+08:00] model, qwen-plus, mode, qwen3, prompt-tokens, 724, completion-tokens, 59, total-tokens, 783, cost-ms, 2914, requestId, c861eb52-3624-9423-9464-a86d54d62302, temperature, 0
[2026-08-16T18:10:35.404+08:00] model, qwen-plus, mode, qwen3, prompt-tokens, 7347, completion-tokens, 160, total-tokens, 7507, cost-ms, 4342, requestId, ef1501c6-c0ac-9963-b292-13555ca95b4a, temperature, 0
[2026-08-16T18:10:39.669+08:00] model, qwen-plus, mode, qwen3, prompt-tokens, 7590, completion-tokens, 135, total-tokens, 7725, cost-ms, 3547, requestId, 1abbb5b6-e1f0-9abd-b35f-c16f5ca481c6, temperature, 0
[2026-08-16T18:10:46.079+08:00] model, qwen-plus, mode, qwen3, prompt-tokens, 7339, completion-tokens, 126, total-tokens, 7465, cost-ms, 3298, requestId, 9318c80e-7404-95e9-9b63-e261623c6f1e, temperature, 0
[2026-08-16T18:10:49.567+08:00] model, qwen-plus, mode, qwen3, prompt-tokens, 7553, completion-tokens, 83, total-tokens, 7636, cost-ms, 2758, requestId, a0d903e3-0654-9a1b-bc48-6a2b886ae1f0, temperature, 0
[2026-08-16T18:10:53.431+08:00] model, qwen-plus, mode, qwen3, prompt-tokens, 752, completion-tokens, 51, total-tokens, 803, cost-ms, 1729, requestId, 6c2740e6-962f-91ba-969e-2fb040aa940f, temperature, 0
